property,address,price,duration,number of bedrooms
2 bedroom flat / apartment for rent,"  Gwarinpa, Abuja","2,500,000", per annum,2
4 bedroom detached duplex for rent,"  Reverend Ogunbiyi Street, Ikeja GRA, Ikeja, Lagos","16,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Opposite Aa Rescue Off Shoprite Road Osapa London, Lekki, Lagos","7,000,000", per annum,4
3 bedroom house for rent,"  Ologolo, Lekki, Lagos","4,500,000", per annum,3
3 bedroom semi-detached duplex for rent,"  Ologolo, Lekki, Lagos","4,500,000", per annum,3
5 bedroom detached duplex for rent,"  Argungi, Lekki, Lagos","5,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Via Citiview Estate, Opic, Isheri North, Lagos","1,000,000", per annum,2
Self contain (single rooms) for rent,"  Aso Radio, Katampe (Main), Katampe, Abuja","700,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Roxbury Homes, Ikota, Lekki, Lagos","2,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Berger, Arepo, Ogun","750,000", per annum,2
3 bedroom flat / apartment for rent,"  United Estate, Sangotedo, Ajah, Lagos","2,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Jahi, Abuja","6,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Jahi, Abuja","4,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","6,000,000", per annum,2
4 bedroom house for rent,"  Ikoyi, Lagos","30,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","5,700,000", per annum,2
4 bedroom flat / apartment for rent,"  Peace Estate, Oregun, Ikeja, Lagos","4,000,000", per annum,4
4 bedroom flat / apartment for rent,"  Peace Esate, Oregun, Ikeja, Lagos","5,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Villa Estate,, Ikota, Lekki, Lagos","1,300,000", per annum,1
2 bedroom flat / apartment for rent,"  Durumi, Abuja","2,500,000", per annum,2
1 bedroom flat / apartment for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","4,000,000", per annum,1
2 bedroom flat / apartment for rent,"  GRA Phase 2, Magodo, Lagos","1,800,000",,2
3 bedroom terraced duplex for rent,"  House 1d, Road 7, Ikota Villa Estate, Ikota, Lekki, Lagos","3,500,000", per annum,3
3 bedroom house for rent,"  2nd Avenue, Gwarinpa, Abuja","2,500,000", per annum,3
Self contain (single rooms) for rent,"  Badore, Ajah, Lagos","400,000", per annum,1
3 bedroom flat / apartment for rent,"  GRA Phase 2, Magodo, Lagos","4,500,000", per annum,3
Office space for rent,"  Surulere, Lagos","6,500,000", per annum,Office Space
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","4,000,000", per annum,2
5 bedroom semi-detached duplex for rent,"  Parkview Estate, Parkview, Ikoyi, Lagos","12,000,000", per annum,5
4 bedroom house for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Ikate Elegushi, Lekki, Lagos","2,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Durumi, Abuja","2,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Durumi, Abuja","2,500,000", per annum,2
4 bedroom detached duplex for rent,"  Oniru, Victoria Island (VI), Lagos","8,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Gra Estate, Ikota, Lekki, Lagos","4,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Durumi, Abuja","2,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Durumi, Abuja","2,500,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Durumi, Abuja","1,500,000", per annum,1
2 bedroom flat / apartment for rent,"  Durumi, Abuja","2,500,000", per annum,2
3 bedroom terraced duplex for rent,"  Sangotedo, Ajah, Lagos","3,300,000", per annum,3
2 bedroom terraced duplex for rent,"  Ikota, Lekki, Lagos","3,500,000", per annum,2
Warehouse for rent,"  Iju Road, Iju-Ishaga, Agege, Lagos","17,000,000", per annum,Warehouse Space
4 bedroom detached duplex for rent,"  Oniru, Victoria Island (VI), Lagos","12,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","2,600,000", per annum,2
4 bedroom detached duplex for rent,"  News Engineering, Dawaki, Gwarinpa, Abuja","5,500,000", per annum,4
Warehouse for rent,"  Magboro, Ogun","12,500", per square meter / per annum,Warehouse Space
2 bedroom flat / apartment for rent,"  Gbagada Phase 1, Gbagada, Lagos","2,000,000", per annum,2
Mixed-use land for rent,"  Ilupeju, Lagos","10,000,000", per annum,Mixed use land
4 bedroom terraced duplex for rent,"  Oniru, Victoria Island (VI), Lagos","12,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Off Admiralty Way, Lekki, Lagos","10,000,000", per annum,4
4 bedroom detached duplex for rent,"  Extention, Gwarinpa, Abuja","5,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Lekki County, Lekki, Lagos","3,500,000", per annum,3
4 bedroom detached duplex for rent,"  Thomas Estate, Ajah, Lagos","4,000,000", per annum,4
2 bedroom commercial property for rent,"  Lekki Phase 1, Lekki, Lagos","2,500,000", per annum,2
1 bedroom flat / apartment for rent,"  Durumi, Abuja","1,500,000", per annum,1
Self contain (single rooms) for rent,"  Alagomeji, Yaba, Lagos","700,000", per annum,1
3 bedroom flat / apartment for rent,"  Greenville Estate, Badore, Ajah, Lagos","1,200,000", per annum,3
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Ikota Villa Estate, Mega Chicken, Ikota, Lekki, Lagos","2,300,000", per annum,3
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,3
3 bedroom flat / apartment for rent,"  By Blackbell Cinemas, Ikota, Lekki, Lagos","2,200,000", per annum,3
3 bedroom flat / apartment for rent,"  Ifako, Gbagada, Lagos","1,400,000", per annum,3
4 bedroom detached duplex for rent,"  Megamound Estate, Ikota, Lekki, Lagos","5,500,000", per annum,4
5 bedroom detached duplex for rent,"  Maitama District, Abuja","35,000,000", per annum,5
5 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","12,000,000", per annum,5
3 bedroom flat / apartment for rent,"  Ikota, Lekki, Lagos","3,000,000", per annum,3
Plaza / complex / mall for rent,"  Opebi Road/opebi Link Road, Opebi, Ikeja, Lagos","115,000", per square meter / per annum,Plaza/mall Space
Commercial property for rent,"  Victoria Island (VI), Lagos","80,000",,Commercial land/property
3 bedroom flat / apartment for rent,"  Chisco, Ikate, Lekki, Lagos","7,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Durumi, Abuja","2,500,000", per annum,3
Commercial property for rent,"  Victoria Island (VI), Lagos","80,000", per annum,Commercial land/property
2 bedroom flat / apartment for rent,"  Jakande, Lekki, Lagos","4,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Banana Island, Old Ikoyi, Ikoyi, Lagos","17,000,000", per annum,2
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","8,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Katampe (Main), Katampe, Abuja","2,500,000", per annum,3
4 bedroom terraced duplex for rent,"  Dpkay Estate, Orchid, Lafiaji, Lekki, Lagos","4,500,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Cadogan Estate, Jakande, Lekki, Lagos","7,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Gbangbala Road, Ikate Elegushi, Lekki, Lagos","3,000,000", per annum,2
5 bedroom detached duplex for rent,"  Osapa, Lekki, Lagos","5,000,000", per annum,5
3 bedroom flat / apartment for rent,"  Graceland Estate, Ajiwe, Ajah, Lagos","2,000,000", per annum,3
Self contain (single rooms) for rent,"  Lekki Phase 1, Lekki, Lagos","4,000,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Idado, Lekki, Lagos","4,800,000", per annum,4
11 bedroom hotel / guest house for rent,"  Badore, Ajah, Lagos","12,000,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Medina, Gbagada, Lagos","5,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","5,800,000", per annum,2
Plaza / complex / mall for rent,"  Opebi Road/opebi Link Road, Opebi, Ikeja, Lagos","115,000", per square meter / per annum,Plaza/mall Space
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","4,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Old Ikoyi, Ikoyi, Lagos","8,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Anifowoshe, Ikeja, Lagos","2,000,000", per annum,2
3 bedroom terraced duplex for rent,"  Phase 2, GRA, Ogudu, Lagos","3,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Marshy Hill Estate Ado Road Akins Bustop, Oke Ira, Ajah, Lagos","1,500,000", per annum,3
3 bedroom terraced duplex for rent,"  Sangotedo, Ajah, Lagos","1,600,000", per annum,3
Office space for rent,"  Lekki Phase 1, Lekki, Lagos","3,500,000", per annum,Office Space
2 bedroom flat / apartment for rent,"  14 Adebayo Doherty, Lekki Phase 1, Lekki, Lagos","3,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","8,000,000", per annum,2
3 bedroom terraced duplex for rent,"  2nd Toll Gate, Lekki, Lagos","4,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Off Olaniyi Street, New Oko-Oba, Agege, Lagos","600,000", per annum,2
Warehouse for rent,"  Off Agodi Gardens, Agodi, Ibadan, Oyo","1,000,000", per annum,Warehouse Space
4 bedroom terraced duplex for rent,"  Orchid Hotel Road, 2nd Toll Gate, Lekki, Lagos","3,500,000", per annum,4
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","7,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Chevron Drive, Lekki, Lagos","3,800,000", per annum,3
4 bedroom terraced duplex for rent,"  Ologolo, Lekki, Lagos","5,000,000", per annum,4
Office space for rent,"  Aguda, Ogba, Ikeja, Lagos","600,000", per annum,Office Space
4 bedroom house for rent,"  Orchid Road, Lekki, Lagos","7,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Legislation Quarters, Zone E, Gudu, Abuja","4,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Ikoyi, Lagos","17,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Channels Tv Avenue Tophill Enclave Estate, Isheri North, Lagos","4,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","9,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","12,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Ikoyi, Lagos","17,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Sangotedo, Lekki, Lagos","1,150,000", per annum,2
10 bedroom detached duplex for rent,"  Jabi, Abuja","23,000,000", per annum,1
Self contain (single rooms) for rent,"  Ikate Elegushi, Lekki, Lagos","2,600,000", per annum,1
1 bedroom flat / apartment for rent,"  Ifako, Gbagada, Lagos","1,000,000", per annum,1
3 bedroom flat / apartment for rent,"  Wuye, Abuja","5,500,000", per annum,3
4 bedroom detached duplex for rent,"  Orchid Road, Lekki, Lagos","8,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Oniru, Victoria Island (VI), Lagos","10,000,000", per annum,4
1 bedroom flat / apartment for rent,"  Orchid Road, Lekki, Lagos","2,000,000", per annum,1
3 bedroom flat / apartment for rent,"  Dideolu Estate, Victoria Island (VI), Lagos","8,500,000", per annum,3
3 bedroom terraced duplex for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","4,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Orchid Estate, Lekki, Lagos","3,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","3,000,000", per annum,3
4 bedroom detached duplex for rent,"  Victoria Island (VI), Lagos","15,000,000", per annum,4
5 bedroom detached duplex for rent,"  Off Oba Akinjobi, Ikeja GRA, Ikeja, Lagos","20,000,000", per annum,5
3 bedroom flat / apartment for rent,"  Dideolu Estate, Victoria Island (VI), Lagos","7,000,000", per annum,3
Office space for rent,"  Allen, Ikeja, Lagos","130,000", per square meter / per annum,Office Space
Plaza / complex / mall for rent,"  Opebi Road/opebi Link Road, Opebi, Ikeja, Lagos","115,000", per square meter / per annum,Plaza/mall Space
6 bedroom detached duplex for rent,"  Awolowo Way/alausa, Ikeja, Lagos","17,000,000",,6
Warehouse for rent,"  Industrial, Ogba, Ikeja, Lagos","25,000", per square meter / per annum,Warehouse Space
Warehouse for rent,"  Agidingbi, Ikeja, Lagos","35,000", per square meter / per annum,Warehouse Space
4 bedroom flat / apartment for rent,"  1004 Estate, Victoria Island (VI), Lagos","6,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","4,000,000", per annum,2
10 bedroom detached duplex for rent,"  Falomo, Ikoyi, Lagos","50,000,000", per annum,1
4 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","18,000,000", per annum,4
5 bedroom detached duplex for rent,"  Lekki Palm City Estate, Ajah, Lagos","5,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Joseph Avenue Estate, Sangotedo, Ajah, Lagos","1,200,000", per annum,2
3 bedroom flat / apartment for rent,"  Citec Estate, Mbora (Nbora), Abuja","3,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Chevron, Lekki, Lagos","4,000,000", per annum,4
Self contain (single rooms) for rent,"  Eagleville Estate, Mabushi, Abuja","700,000", per annum,1
4 bedroom terraced duplex for rent,"  By Romay Gardens Estate, Ilasan, Lekki, Lagos","4,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Mojisola Onikoyi Estate, Ikoyi, Lagos","15,000,000", per annum,3
Office space for rent,"  Victoria Island (VI), Lagos","100,000", per square meter / per annum,Office Space
7 bedroom flat / apartment for rent,"  Parkview, Ikoyi, Lagos","20,000,000", per annum,7
2 bedroom flat / apartment for rent,"  Ogombo, Ajah, Lagos","1,000,000", per annum,2
2 bedroom detached bungalow for rent,"  Peaceland Estate, Ogombo, Ajah, Lagos","1,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Harmony Estate, Ago Palace, Isolo, Lagos","2,000,000", per annum,3
3 bedroom flat / apartment for rent,"  By Gilmore, Jahi, Abuja","6,000,000", per annum,3
1 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,1
2 bedroom flat / apartment for rent,"  By Lagos Business School, Olokonla, Ajah, Lagos","1,700,000", per annum,2
3 bedroom flat / apartment for rent,"  Citec Estate, Mbora (Nbora), Abuja","3,000,000", per annum,3
4 bedroom detached duplex for rent,"  Graceland Estate, Ajah, Lagos","3,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Cadogan Estate, Jakande, Lekki, Lagos","7,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Off Emmanuel Keshi Street, GRA Phase 2, Magodo, Lagos","3,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,4
3 bedroom house for rent,"  Osapa, Lekki, Lagos","3,200,000", per annum,3
Warehouse for rent,"  Ori-oke, Ogudu, Lagos","19,500,000", per annum,Warehouse Space
Self contain (single rooms) for rent,"  Akoka, Yaba, Lagos","550,000", per annum,1
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","4,500,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Victoria Island (VI), Lagos","5,000,000", per annum,1
3 bedroom flat / apartment for rent,"  Off Admiralty Way., Lekki Phase 1, Lekki, Lagos","5,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","3,300,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Ipaja, Lagos","400,000", per annum,1
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","8,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Isefun,, Ayobo, Lagos","550,000", per annum,2
2 bedroom house for rent,"  Orchid, Lekki, Lagos","3,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Abiola Farm Estate,, Ayobo, Lagos","450,000", per annum,2
2 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","6,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Alaja,, Ayobo, Lagos","600,000", per annum,3
2 bedroom flat / apartment for rent,"  14 Adebayo Doherty, Lekki Phase 1, Lekki, Lagos","3,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Maitama District, Abuja","19,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Isefun,, Ayobo, Lagos","300,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Divine Homes, Thomas Estate, Ajah, Lagos","4,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Peninsula Estate By Blenco And Skymall Super Market Ogidan, Ajah, Lagos","1,500,000", per annum,2
4 bedroom house for rent,"  Off Alfred Rewane Road, Ikoyi, Lagos","25,000,000", per annum,4
4 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","21,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Jahi, Abuja","6,000,000", per annum,3
Self contain (single rooms) for rent,"  Abule Ijesha, Yaba, Lagos","450,000", per annum,1
3 bedroom flat / apartment for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","11,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,000,000", per annum,3
5 bedroom detached duplex for rent,"  Lekki Right, Lekki Phase 1, Lekki, Lagos","20,000,000", per annum,5
4 bedroom detached duplex for rent,"  Orchid Road, Lekki, Lagos","8,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,500,000", per annum,3
4 bedroom house for rent,"  Right, Lekki Phase 1, Lekki, Lagos","20,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Chisco Bus Stop, Ikate Elegushi, Lekki, Lagos","3,500,000", per annum,2
3 bedroom commercial property for rent,"  By Lifecamp Junction, Life Camp, Abuja","32,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Close To Paradise Estate 1, Life Camp, Abuja","3,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Villa, Ikota, Lekki, Lagos","2,000,000", per annum,2
Self contain (single rooms) for rent,"  Penisular Garden Estate By Blenco Supermarket, Sangotedo, Ajah, Lagos","600,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Cadogan Estate, Osapa, Lekki, Lagos","7,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","20,000,000", per annum,3
5 bedroom semi-detached duplex for rent,"  Isolo Ejigbo Express Road, Ejigbo, Lagos","2,500,000", per annum,5
3 bedroom flat / apartment for rent,"  Villa, Ikota, Lekki, Lagos","2,700,000", per annum,3
2 bedroom flat / apartment for rent,"  Salem, Ikate, Lekki, Lagos","3,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Bashorun Estate Majek, Sangotedo, Ajah, Lagos","1,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Lekki Right Hand Side, Oniru, Victoria Island (VI), Lagos","10,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Bashorun Gown Majek, Sangotedo, Ajah, Lagos","800,000", per annum,3
4 bedroom detached duplex for rent,"  Thomas Estate, Ajah, Lagos","4,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Phase 2, GRA, Ogudu, Lagos","6,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Main Elesekan Town Road, Bogije, Ibeju Lekki, Lagos","750,000", per annum,2
2 bedroom flat / apartment for rent,"  Main Elesekan Town Road, Bogije, Ibeju Lekki, Lagos","600,000", per annum,2
5 bedroom terraced duplex for rent,"  Orchid Road, Ajah, Ikota, Lekki, Lagos","4,500,000", per annum,5
5 bedroom terraced duplex for rent,"  Main Estate, Lekki Phase 1, Lekki, Lagos","260,000", per annum,5
4 bedroom terraced duplex for rent,"  Orchid Road, Roxbury Homes, Ikota, Lekki, Lagos","3,500,000", per annum,4
5 bedroom terraced duplex for rent,"  Osapa, Lekki, Lagos","5,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","2,000,000", per annum,2
5 bedroom detached duplex for rent,"  Banana Island, Ikoyi, Lagos","150,000", per annum,5
3 bedroom flat / apartment for rent,"  Lekki, Lagos","6,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Cowrie Creek Estate, Spar Road, Ikate, Lekki, Lagos","12,000,000", per annum,4
4 bedroom terraced duplex for rent,"  VGC, Lekki, Lagos","3,500,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Osapa, Lekki, Lagos","2,500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Chevron, Lekki, Lagos","280,000", per month,1
1 bedroom flat / apartment for rent,"  Community Estate Mobil Road, Ajah, Lagos","450,000", per annum,1
Self contain (single rooms) for rent,"  Lekki County Homes Megamound, Lekki, Lagos","1,200,000", per annum,1
2 bedroom flat / apartment for rent,"  Eputu London Mini Estate, Ibeju Lekki, Lagos","800,000", per annum,2
2 bedroom flat / apartment for rent,"  Kajola, Ibeju Lekki, Lagos","800,000", per annum,2
3 bedroom semi-detached duplex for rent,"  Bricks Court Estate, Lekki, Lagos","4,500,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  1st Gate, Jakande, Lekki, Lagos","1,800,000", per annum,1
3 bedroom flat / apartment for rent,"  Ijesha, Surulere, Lagos","2,000,000", per annum,3
Self contain (single rooms) for rent,"  Desa/onosa, Ibeju Lekki, Lagos","130,000", per annum,1
4 bedroom terraced duplex for rent,"  Old Ikoyi, Ikoyi, Lagos","7,500,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Cadogan, Osapa, Lekki, Lagos","7,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Olokonla, Ajah, Lagos","1,200,000", per annum,1
4 bedroom terraced duplex for rent,"  Jahi, Abuja","5,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Jahi, Abuja","3,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Kajola Phase 2, Bogije, Ibeju Lekki, Lagos","750,000", per annum,2
2 bedroom flat / apartment for rent,"  Mabushi, Abuja","5,500,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Therra Annex, Sangotedo, Ajah, Lagos","750,000", per annum,1
5 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Paradise Estate Shell Cooperative Eneka Link Road, Eneka, Port Harcourt, Rivers","1,500,000", per annum,2
3 bedroom terraced duplex for rent,"  Orchid Road, Lekki, Lagos","3,500,000", per annum,3
Commercial property for rent,"  Allen, Ikeja, Lagos","5,400,000", per annum,Commercial land/property
4 bedroom detached duplex for rent,"  Reverend Ogunbiyi Street, Ikeja GRA, Ikeja, Lagos","16,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos","3,000,000", per annum,2
4 bedroom terraced duplex for rent,"  Adeola Odeku Strret, Victoria Island (VI), Lagos","20,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","2,800,000", per annum,2
2 bedroom flat / apartment for rent,"  Off T.f Kuboye Axis, Oniru, Victoria Island (VI), Lagos","3,700,000", per annum,2
3 bedroom flat / apartment for rent,"  Ikoyi, Lagos","10,000,000", per annum,3
Office space for rent,"  Off Admiralty Way Facing Main Road, Lekki Phase 1, Lekki, Lagos","2,500,000", per annum,Office Space
2 bedroom flat / apartment for rent,"  West Gate Lbs, Ajah, Lagos","1,800,000", per annum,2
Self contain (single rooms) for rent,"  Ologolo, Lekki, Lagos","650,000", per annum,1
2 bedroom flat / apartment for rent,"  67, Gabriel Osai Street, Jahi, Abuja","3,000,000", per annum,2
4 bedroom terraced duplex for rent,"  67, Gabriel Osai Street, Jahi, Abuja","5,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Sangotedo, Ajah, Lagos","2,200,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","7,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Chevron, Lekki, Lagos","5,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Cedar Peace Estate, Sangotedo, Ajah, Lagos","2,000,000", per annum,2
1 bedroom flat / apartment for rent,"  Nizamiye Turkish Hospital, Karmo, Abuja","2,300,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  GRA Phase 2, Magodo, Lagos","1,500,000", per annum,1
3 bedroom flat / apartment for rent,"  Pako, GRA, Ogudu, Lagos","2,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Ajah, Lagos","1,200,000", per annum,3
Self contain (single rooms) for rent,"  Megamond Estate Lekki County, Ikota, Lekki, Lagos","1,200,000", per annum,1
2 bedroom flat / apartment for rent,"  Grace Court Estate, Sangotedo, Ajah, Lagos","1,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Off Sobo Arobiodu Street, Ikeja GRA, Ikeja, Lagos","8,500,000", per annum,3
4 bedroom detached duplex for rent,"  By City Of David, Oniru, Victoria Island (VI), Lagos","10,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Ajah, Lagos","2,100,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Off Elegushi Beach Road, Ikate, Lekki Phase 1, Lekki, Lagos","2,000,000", per annum,1
Self contain (single rooms) for rent,"  Chevron Axis And Oral Estate, Lekki, Lagos","200,000", per month,1
2 bedroom flat / apartment for rent,"  Cedar Peace Estate, Sangotedo, Ajah, Lagos","2,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Off Tf Kuboye, Oniru, Victoria Island (VI), Lagos","3,700,000", per annum,2
Self contain (single rooms) for rent,"  Chevy View Estate, By Chevron Drive, Lekki, Lagos","1,300,000", per annum,1
3 bedroom terraced duplex for rent,"  Richmond Gate Estate, Ikate, Lekki, Lagos","8,000,000", per annum,3
4 bedroom detached duplex for rent,"  Thomas Estate, Ajah, Lagos","6,000,000", per annum,4
4 bedroom detached duplex for rent,"  Ramat, GRA, Ogudu, Lagos","8,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Orchid Road, Lekki, Lagos","4,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Off Redeem Drive, Ogombo, Ajah, Lagos","800,000", per annum,1
2 bedroom flat / apartment for rent,"  Lekki Peninsula Scheme 2, Ajah, Lagos","1,700,000", per annum,2
4 bedroom flat / apartment for rent,"  Hi Life Estate,off Abraham Adesanya Roundabout, Ajah, Lagos","2,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Orchid Road, Lekki, Lagos","3,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Off Emmanuel Keshi Street, GRA Phase 2, Magodo, Lagos","2,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","5,200,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Off Gbangabala Road Ikate ., Ikate Elegushi, Lekki, Lagos","3,500,000", per annum,1
5 bedroom detached duplex for rent,"  Guzape District, Abuja","50,000,000", per annum,5
Plaza / complex / mall for rent,"  Lekki Phase 1, Lekki, Lagos","120,000", per square meter / per annum,Plaza/mall Space
4 bedroom semi-detached duplex for rent,"  Old Ikoyi, Ikoyi, Lagos","20,000,000", per annum,4
